seq1,seq2,similarity
73,173,0.8707364
92,153,0.5209994
92,107,0.3266109
56,150,0.5247343
56,186,0.53249824
72,122,0.59914607
64,98,0.5247006
64,126,0.514416
39,116,0.42216724
39,199,0.58666277
39,74,0.5990426
50,82,0.5344219
50,127,0.2930936
19,91,0.5348762
19,160,0.25848588
19,103,0.65196824
20,67,0.7517914
20,85,0.475953
20,106,0.6751763
21,42,0.25623968
21,40,0.4900419
55,80,0.6768573
55,156,0.5511743
85,99,0.47518054
54,145,0.53591835
54,58,0.4504543
54,182,0.4793902
13,65,0.5790267
13,112,0.5703122
34,129,0.50081164
13,30,0.66785765
34,172,0.3834532
52,116,0.47140217
52,132,0.4684726
68,90,0.5168444
17,64,0.4745442
29,48,0.51366085
29,109,0.5954576
17,113,0.4152774
29,196,0.33060047
4,42,0.36700904
69,174,0.46360666
4,13,0.6102477
69,94,0.43137178
4,101,0.41855204
75,157,0.4830369
75,141,0.575482
5,126,0.42830598
75,123,0.582282
94,121,0.45444953
8,94,0.40810493
94,135,0.48355815
8,198,0.34485307
38,165,0.31089243
38,82,0.31472123
38,90,0.29358578
71,136,0.6199449
12,118,0.69999087
12,155,0.74298257
76,98,0.34340858
12,186,0.5475612
25,149,0.48416582
51,102,0.58231103
51,199,0.61520964
25,59,0.5606913
84,143,0.54221904
84,160,0.23337308
7,16,0.41338292
7,54,0.47612432
16,106,0.45988694
32,169,0.50978583
16,40,0.56167537
32,117,0.49539238
83,120,0.6017691
61,63,0.5580409
83,147,0.50833046
30,36,0.6853788
30,120,0.5639076
30,109,0.5154052
30,166,0.61365336
9,27,0.26620236
65,136,0.39454624
65,132,0.3160534
9,166,0.4186225
65,182,0.40882388
46,154,0.35875225
58,157,0.42216018
58,198,0.38544822
58,148,0.56545985
37,72,0.6538657
53,61,0.6544406
53,69,0.42828014
53,138,0.51395804
37,156,0.56529075
95,139,0.45858854
91,153,0.5673361
91,127,0.29933268
43,98,0.58247894
43,80,0.69966894
43,53,0.57433736
87,187,0.88011724
15,102,0.57657456
15,63,0.48840663
15,175,0.46044368
15,44,0.41312078
14,56,0.5127687
63,127,0.2586836
22,118,0.494079
22,157,0.51442134
22,133,0.4254987
49,137,0.666314
49,111,0.56449205
28,119,0.56176215
28,143,0.41837847
49,164,0.39822564
96,125,0.28144372
96,196,0.78783303
96,99,0.5312487
96,140,0.55771935
2,73,0.48660204
2,67,0.53660846
2,155,0.49334735
2,138,0.47709218
86,160,0.4211903
86,196,0.4264253
86,140,0.44157448
82,117,0.4562605
93,185,0.5633149
82,106,0.5906304
45,55,0.64974135
45,51,0.6006438
45,128,0.59257233
36,190,0.59009075
99,159,0.5199806
67,135,0.62117136
99,157,0.5331314
67,155,0.6668143
31,32,0.5927664
31,140,0.57368803
41,85,0.45278817
41,172,0.3457927
18,199,0.62207705
18,111,0.516112
18,30,0.60312283
81,190,0.46685317
81,185,0.55407375
59,126,0.5880614
59,130,0.40016523
40,143,0.5774081
40,149,0.55392826
74,159,0.4432683
74,84,0.45780703
57,93,0.31446984
24,104,0.59826803
24,95,0.5402085
6,27,0.52574986
6,102,0.58644736
6,182,0.6292457
47,91,0.61547714
47,158,0.5768518
70,110,0.60320985
70,104,0.5699331
48,114,0.37087324
48,78,0.53617215
48,169,0.45815656
44,54,0.44517255
44,99,0.46069002
79,87,0.5488107
79,190,0.6000559
62,112,0.57841367
62,159,0.37101328
1,119,0.37999734
1,171,0.37729946
1,63,0.25784096
11,41,0.410791
11,80,0.5566694
33,106,0.49936223
33,40,0.40259704
148,160,0.35217753
175,178,0.48874456
120,123,0.512581
146,156,0.6042993
123,187,0.5429056
124,145,0.61017525
166,182,0.5377202
155,182,0.60922986
158,159,0.34353846
145,192,0.5860155
121,190,0.5329673
150,160,0.34256414
178,196,0.4279796
135,198,0.48955062
136,170,0.4930924
109,124,0.5886163
157,186,0.4794871
118,143,0.53943914
116,119,0.5795919
104,114,0.2226654
116,122,0.5622057
172,175,0.41670668
117,119,0.52938694
117,179,0.4961976
122,173,0.71074104
122,127,0.4281433
